galaxy,n_halo_pts,chi2_phi_core,chi2_ISO,chi2_NFW_c10,chi2_NFW_cfree,hp_ratio,hp_pull
NGC7793,42,2.381344,2.030462,1.424103,1.460618,0.595146,-2.0736
NGC7814,18,1.858437,1.268184,0.850199,0.910068,0.698012,-0.2388
PGC51017,6,3.350201,3.402778,1.260632,1.680842,,
UGC00128,22,4.107787,3.854371,3.625449,3.816262,0.743572,1.8363
UGC00191,9,2.323208,1.819669,4.801758,5.602051,0.750512,0.8565
UGC00634,4,0.768383,1.84529,4.022366,8.044732,0.668317,-1.4057
UGC00731,12,0.40719,0.180313,0.384243,0.426936,0.687432,-0.5108
UGC00891,5,0.254813,0.366611,4.452536,6.681599,0.700858,-0.754
UGC01230,11,0.631219,1.038545,1.443878,1.624363,0.681218,-0.2363
UGC01281,25,0.163877,0.197347,1.044199,1.337819,0.761022,0.8148
UGC02023,5,0.138878,0.139082,1.382292,2.073942,,
UGC02259,8,0.900738,0.580196,0.846464,1.015757,0.701954,-0.123
UGC02487,17,14.381616,14.400819,5.830727,6.260554,,
UGC02885,19,9.565103,8.348655,13.103425,13.922389,,
UGC02916,43,65.932086,63.928782,54.526279,55.96887,0.616064,-2.9174
UGC02953,115,29.052936,24.112376,17.884036,18.083144,0.616829,-2.3636
UGC03205,48,4.154186,4.230626,7.911779,8.007743,0.602855,-1.5985
UGC03546,23,2.02424,2.76356,4.601513,4.864279,0.572258,-2.1725
UGC03580,30,6.888804,7.186833,22.129686,22.949006,0.729799,0.7269
UGC04278,25,0.986401,0.948498,1.549583,1.927257,0.741048,0.6611
UGC04305,17,5.359866,5.531593,4.705013,5.375453,,
UGC04325,8,0.774629,1.746781,3.338778,4.006534,0.687837,-0.5336
UGC04483,8,0.379471,0.436773,0.936297,1.123557,0.736473,0.4804
UGC04499,9,0.403071,0.550807,1.877476,2.373806,0.727744,0.4689
UGC05005,11,0.027881,0.040802,0.325406,0.366082,0.693679,-0.0491
UGC05253,73,35.062392,23.736543,26.036937,26.405165,0.749739,4.2677
UGC05414,6,0.196219,0.153047,1.704178,2.263845,0.691248,-0.4017
UGC05716,12,4.439694,3.047787,2.177239,2.419154,0.724332,1.5635
UGC05721,23,0.757518,1.019357,1.270499,1.334024,0.608,-1.4213
UGC05750,11,0.19331,0.284157,1.493782,1.680504,0.726382,0.196
UGC05764,10,3.648992,5.127269,7.53154,8.607474,0.652521,-2.1255
UGC05829,11,0.306407,0.212415,0.098311,0.116035,0.661113,-0.5291
UGC05918,8,0.033679,0.019243,0.164985,0.197982,0.703262,-0.0398
UGC05986,15,1.22366,2.051003,8.481869,9.546523,0.711542,0.2341
UGC05999,5,1.251189,1.643948,3.610124,5.415186,0.752134,0.8843
UGC06399,9,0.051896,0.114061,0.860472,1.003884,0.697804,-0.1861
UGC06446,17,0.343041,0.207279,0.259361,0.277887,0.735446,0.4669
UGC06614,13,0.976969,0.861017,0.446288,0.566167,0.607542,-0.9573
UGC06628,5,0.359834,0.388705,0.314009,0.442445,,
UGC06667,9,0.142738,0.24714,1.403341,1.637231,0.682672,-0.5917
UGC06786,45,7.339995,4.084225,2.376214,2.432636,0.756862,2.1185
UGC06787,71,44.801988,45.169679,47.129735,48.051746,0.722677,0.8289
UGC06818,8,2.883993,2.884369,8.300765,9.953467,,
UGC06917,11,0.233933,0.3731,1.198597,1.348421,0.720749,0.3086
UGC06923,6,0.918089,1.031622,2.156028,2.875716,0.741724,0.7064
UGC06930,10,0.134591,0.215586,0.432307,0.494065,0.725924,0.2428
UGC06973,5,2.763526,2.780042,9.413789,14.051826,,
UGC06983,17,0.566583,0.704946,0.926368,0.992537,0.763679,1.1305
UGC07089,12,0.347357,0.307672,0.482475,0.532746,0.69358,-0.2512
UGC07125,13,0.527577,0.800816,1.602871,1.763158,0.694743,-0.2781
UGC07151,11,1.237464,1.738106,4.638682,5.169793,0.784625,2.0207
UGC07232,4,0.232598,0.232656,3.829745,7.665348,,
UGC07261,7,0.277525,0.122314,0.065253,0.081566,0.698122,-0.1022
UGC07323,10,0.659185,0.630586,1.222743,1.419619,0.717194,0.2229
UGC07399,10,0.524894,0.252046,1.223854,1.39869,0.69624,-0.3353
UGC07524,31,0.396263,0.415463,1.109454,1.159234,0.690133,-0.4443
UGC07559,7,0.147106,0.171539,0.775405,0.974613,0.738882,0.3308
UGC07577,9,0.445811,0.445847,0.735704,0.884332,,
UGC07603,12,0.240403,0.457623,2.245535,2.495039,0.726633,0.4289
UGC07608,8,0.084326,0.089644,0.534279,0.64299,0.689142,-0.1973
UGC07690,7,0.423981,0.669949,0.583338,0.729172,0.654045,-0.5999
UGC07866,7,0.099352,0.067732,0.063671,0.079589,0.698875,-0.0557
UGC08286,17,0.688565,0.964328,2.876042,3.302076,0.741791,0.9393
UGC08490,30,0.304591,0.24578,0.149344,0.154876,0.658096,-0.9766
UGC08550,11,0.698529,0.456644,0.972902,1.094515,0.743255,0.7387
UGC08699,39,3.515702,2.632622,5.389115,5.538812,0.684829,-0.3478
UGC08837,8,0.801443,0.801531,8.136583,9.939801,,
